bar_code,Family,Genus,species,X,Y,value,variable_id
P856420,Sapotaceae,Micropholis,cayennensis,53,4,18.760980016498497,1
P856420,Sapotaceae,Micropholis,cayennensis,53,4,463.12519880338095,2
P856420,Sapotaceae,Micropholis,cayennensis,53,4,2.3864202172331823,3
P856420,Sapotaceae,Micropholis,cayennensis,53,4,0.014718010756364842,5
P856420,Sapotaceae,Micropholis,cayennensis,53,4,32.951554777471685,6
P856420,Sapotaceae,Micropholis,cayennensis,53,4,0.6640518740360755,7
P856420,Sapotaceae,Micropholis,cayennensis,53,4,-34.06391434942802,8
P856420,Sapotaceae,Micropholis,cayennensis,53,4,84.14769120681491,9
P856420,Sapotaceae,Micropholis,cayennensis,53,4,96.70809489816111,10
P856420,Sapotaceae,Micropholis,cayennensis,53,4,7.024318259960708,11
P992828,Sapotaceae,Micropholis,cayennensis,45,39,27.933431887515667,1
P992828,Sapotaceae,Micropholis,cayennensis,45,39,414.6928304218123,2
P992828,Sapotaceae,Micropholis,cayennensis,45,39,2.411835572741865,3
P992828,Sapotaceae,Micropholis,cayennensis,45,39,0.015134162713964103,5
P992828,Sapotaceae,Micropholis,cayennensis,45,39,32.51705671474547,6
P992828,Sapotaceae,Micropholis,cayennensis,45,39,3.3492290199409487,7
P992828,Sapotaceae,Micropholis,cayennensis,45,39,-30.80148510027382,8
P992828,Sapotaceae,Micropholis,cayennensis,45,39,89.3470718992304,9
P992828,Sapotaceae,Micropholis,cayennensis,45,39,97.31253696323094,10
P992828,Sapotaceae,Micropholis,cayennensis,45,39,5.779319307500152,11
P996765,Sapotaceae,Micropholis,cayennensis,77,8,25.69861170148646,1
P996765,Sapotaceae,Micropholis,cayennensis,77,8,373.25331848329444,2
P996765,Sapotaceae,Micropholis,cayennensis,77,8,2.2511821943894863,3
P996765,Sapotaceae,Micropholis,cayennensis,77,8,0.017388161329202335,5
P996765,Sapotaceae,Micropholis,cayennensis,77,8,29.167770935731145,6
P996765,Sapotaceae,Micropholis,cayennensis,77,8,0.7272329080199862,7
P996765,Sapotaceae,Micropholis,cayennensis,77,8,-32.892431428816856,8
P996765,Sapotaceae,Micropholis,cayennensis,77,8,85.38412822544757,9
P996765,Sapotaceae,Micropholis,cayennensis,77,8,127.7638399116795,10
P996765,Sapotaceae,Micropholis,cayennensis,77,8,7.02333390053433,11
P296985,Sapotaceae,Micropholis,cayennensis,89,99,73.09742712771505,1
P296985,Sapotaceae,Micropholis,cayennensis,89,99,533.3802634178813,2
P296985,Sapotaceae,Micropholis,cayennensis,89,99,3.3654325900294837,3
P296985,Sapotaceae,Micropholis,cayennensis,89,99,0.01665626248674367,5
P296985,Sapotaceae,Micropholis,cayennensis,89,99,28.152848807726286,6
P296985,Sapotaceae,Micropholis,cayennensis,89,99,3.0720871094367115,7
P296985,Sapotaceae,Micropholis,cayennensis,89,99,-31.884747916360787,8
P296985,Sapotaceae,Micropholis,cayennensis,89,99,108.37136080705751,9
P296985,Sapotaceae,Micropholis,cayennensis,89,99,191.20479976527506,10
P296985,Sapotaceae,Micropholis,cayennensis,89,99,5.565218097271096,11
P921903,Sapotaceae,Micropholis,cayennensis,37,25,33.910406181869824,1
P921903,Sapotaceae,Micropholis,cayennensis,37,25,497.8716667482745,2
P921903,Sapotaceae,Micropholis,cayennensis,37,25,2.4818267509390477,3
P921903,Sapotaceae,Micropholis,cayennensis,37,25,0.014639556962207022,5
P921903,Sapotaceae,Micropholis,cayennensis,37,25,36.715888882588956,6
P921903,Sapotaceae,Micropholis,cayennensis,37,25,0.26074802809562536,7
P921903,Sapotaceae,Micropholis,cayennensis,37,25,-32.13995563119449,8
P921903,Sapotaceae,Micropholis,cayennensis,37,25,69.4609670782743,9
P921903,Sapotaceae,Micropholis,cayennensis,37,25,110.40437504889744,10
P921903,Sapotaceae,Micropholis,cayennensis,37,25,5.427789625522192,11
